institutionCode,InstitutionName,Institution,Rodentia,Chiroptera,Total,institutionCountry,geom.lat,geom.long,Notes,AWF_Notes,
2,#N/A,Scottish Wildlife Trust,5,0,5,GB,55.972877,-3.9708243,Scottish Wildlife Trust,,
ACUNHC,Abilene Christian University Natural History Collection,Abilene Christian University Natural History Collection,1123,378,1501,US,32.46783659,-99.71057967,,,
AK,Auckland War Memorial Museum,Auckland War Memorial Museum,4,1,5,NZ,-36.86056316,174.7777323,,,
ALMNH,Alabama Museum of Natural History,Alabama Museum of Natural History,6,5,11,US,33.21200532,-87.54400725,,,
AM,Australian Museum,Australian Museum,550,983,1533,AU,-33.87419314,151.2131452,,,
AMNH,American Museum of Natural History,American Museum of Natural History,1405,1774,3179,US,40.78129158,-73.97407404,,,
ANSP,Academy of Natural Sciences,Academy of Natural Sciences,18,15,33,US,40.05770715,-75.19080465,,,
ANWC,Australian National Wildlife Collection,Australian National Wildlife Collection,3426,1302,4728,AU,-33.50409323,149.5393453,,,
Arizona State University,#N/A,Arizona State University,4,0,4,US,33.42325716,-111.9273907,,Combine with ASU (Arizona State University) BioColl into single institution ,
ASNHC,Angelo State Natural History Collection,Angelo State Natural History Collection,4395,2479,6874,US,31.44269024,-100.4655121,,ASNHC is a separate institution from the Museum at TTU even though Angelo State and Texas Tech Universisities are in the same system,
ASU,Arizona State University,Arizona State University,1147,62,1209,US,33.4003008,-111.9497483,Angelo State is part of the TTU system,"I presume this ASU refers to Arizona State University, not Angelo State University, Combine with ASU (Arizona State University) BioColl into single institution ",
Baylor College of Medicine,#N/A,Baylor College of Medicine,1,0,1,US,29.71061148,-95.39604478,,,
BBM,Beaty Biodiversity Museum,Beaty Biodiversity Museum,75,9,84,CA,49.26336599,-123.2509033,,,
BYU,Brigham Young University (BYU) Life Science Museum,Brigham Young University (BYU) Life Science Museum,339,1,340,US,40.25367245,-111.6468566,,,
Canadian Centre for DNA Barcoding,#N/A,Canadian Centre for DNA Barcoding,6,0,6,CA,43.52773215,-80.22361903,,,
CAS,California Academy of Sciences,California Academy of Sciences,1132,248,1380,US,37.7698646,-122.4660947,,Other acronymn = CASC,
CDF,Charles Darwin Foundation for the Galapagos Islands,Charles Darwin Foundation for the Galapagos Islands,7,0,7,EC,-0.74215786,-90.30414895,,,
Centre for Biodiversity Genomics,#N/A,"University of Guelph, Centre for Biodiversity Genomics",10,1,11,CA,43.53343729,-80.22698998,"combine with University of Guelph, Centre for Biodiversity Genomics?",,
"Centro Interdisciplinario de Investigacion y Desarrollo Integral y Regional, IPN Unidad Durango",#N/A,"Centro Interdisciplinario de Investigacion y Desarrollo Integral y Regional, IPN Unidad Durango",1,1132,1133,MX,24.05136821,-104.6104547,combined with CIIDIR-IPN,Correct,
Centro Regional de Estudios Genomicos,#N/A,Centro Regional de Estudios Genomicos,6,0,6,AR,-34.90974722,-57.92553855,,,
CHAS,Chicago Academy of Sciences,Chicago Academy of Sciences,80,218,298,US,41.9267667,-87.6352217,,,
"Cibinong Science Centre, Museum Zoologicum Bogoriense",#N/A,"Cibinong Science Centre, Museum Zoologicum Bogoriense",0,6,6,ID,-6.597408312,106.7975925,,,
CIBIO,Centro de Investigacao em Biodiversidade e recursos geneticos,Centro de Investigacao em Biodiversidade e recursos geneticos,0,63,63,PT,41.3283358,-8.6727763,,https://www.cibio.up.pt/en/,
